Class,doesHaveLink,doseHaveSpamWords,message_len,doesHavePhoneNumber
ham,0,0,114,0
ham,0,0,32,0
spam,0,5,158,1
ham,0,0,52,0
ham,0,0,64,0
spam,0,0,151,0
ham,0,0,80,0
ham,0,0,163,0
spam,0,2,161,1
spam,0,0,157,1
ham,0,0,112,0
spam,0,3,139,1
spam,1,5,159,1
ham,0,0,199,0
ham,0,0,38,0
spam,1,2,152,0
ham,0,0,29,0
ham,0,0,84,0
ham,0,0,61,0
spam,0,1,159,1
ham,0,0,44,0
ham,0,0,52,0
ham,0,0,56,0
ham,0,0,91,0
ham,0,0,60,0
ham,0,0,147,0
ham,0,0,33,0
ham,0,0,137,0
ham,0,0,78,0
ham,0,0,67,0
ham,0,0,133,0
ham,0,1,192,0
ham,0,0,32,0
ham,0,0,87,0
spam,0,3,162,0
ham,0,1,126,0
ham,0,0,50,0
ham,0,0,31,0
ham,0,0,30,0
ham,0,1,158,0
ham,0,0,85,0
ham,0,0,145,0
spam,0,4,175,1
ham,0,0,22,0
ham,0,0,75,0
ham,0,0,35,0
ham,0,0,48,0
ham,0,0,34,0
ham,0,0,70,0
ham,0,0,151,0
ham,0,0,61,0
ham,0,0,127,0
ham,0,0,83,0
ham,0,0,294,0
spam,0,2,123,0
ham,0,0,79,0
spam,0,0,164,1
ham,0,0,37,0
ham,0,0,25,0
ham,0,0,43,0
ham,0,0,111,0
ham,0,0,51,0
ham,0,0,28,0
ham,0,0,59,0
ham,0,0,113,0
spam,0,1,156,1
ham,0,0,127,0
spam,0,3,164,1
spam,0,0,83,0
ham,0,0,37,0
ham,0,0,49,0
ham,0,0,32,0
ham,0,0,48,0
ham,0,0,45,0
ham,0,0,23,0
ham,0,0,46,0
ham,0,0,76,0
ham,0,0,53,0
ham,0,0,45,0
ham,0,0,79,0
ham,0,0,25,0
ham,0,0,35,0
ham,0,0,35,0
ham,0,0,39,0
ham,0,0,17,0
ham,0,1,58,0
ham,0,0,124,0
ham,0,0,147,0
ham,0,0,45,0
ham,0,0,44,0
ham,0,0,65,0
